78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,10,4,2,2,3,2,1,1,3,1,15
78,78,78,78,10,1,1,1,1,1,1,1,15,78,78,78,78,78,78,0,18,18,18,18,18,18,18,18,18,5
78,78,78,78,10,18,18,18,18,18,27,18,15,78,78,78,78,78,78,0,18,27,27,18,18,18,18,29,6,15
78,78,78,78,10,18,27,18,27,18,18,18,15,78,78,78,78,78,78,10,18,27,18,29,29,29,18,29,18,35
78,78,78,78,10,18,27,16,16,18,18,18,15,78,78,78,78,78,78,10,18,29,18,27,18,18,29,6,27,25
78,78,78,78,40,41,55,18,18,50,41,44,45,78,78,78,78,78,78,10,18,29,18,18,16,16,18,18,27,15
78,78,78,78,78,78,10,18,18,2,2,2,2,2,2,2,2,2,25,0,18,29,18,27,16,18,8,18,27,35
78,78,78,78,78,78,10,27,18,8,18,18,18,18,18,18,18,18,25,0,18,18,18,18,29,6,18,8,27,15
78,78,78,78,78,78,10,18,18,18,18,18,27,18,18,27,8,18,25,30,18,29,6,18,29,16,18,18,27,25
78,78,78,78,78,78,10,18,18,50,43,43,43,43,55,18,18,18,2,2,18,29,18,29,18,16,18,18,18,15
10,2,2,2,2,2,10,18,8,15,78,78,78,78,20,18,18,18,18,18,29,18,29,6,18,18,6,18,18,15
10,18,18,16,16,18,18,8,8,15,78,78,78,78,20,18,8,18,18,18,18,18,6,18,16,18,18,8,18,25
10,18,18,18,16,16,8,18,18,15,78,20,43,43,42,18,8,27,54,55,18,18,29,18,18,29,18,18,18,15
10,18,18,8,18,18,18,8,18,15,78,10,18,18,18,18,18,18,25,20,18,29,27,27,18,29,29,18,8,25
10,71,18,18,8,18,16,18,18,15,78,10,18,18,27,8,8,18,25,20,18,18,6,6,16,18,29,18,8,35
10,27,27,18,18,18,16,8,18,15,78,10,18,27,27,18,27,18,25,0,18,29,29,18,6,18,18,18,18,25
10,18,18,18,18,18,18,8,18,15,78,10,18,18,18,18,18,18,25,30,18,18,27,16,18,16,16,16,18,15
40,41,55,8,8,18,16,16,6,42,42,42,17,29,8,18,50,51,45,0,18,18,29,18,18,16,29,16,18,35
78,78,20,18,6,6,6,18,18,18,18,8,8,18,18,18,25,78,78,30,18,18,18,18,27,18,29,29,18,5
78,78,40,42,42,42,42,42,42,42,42,42,42,42,42,42,45,78,78,40,41,42,41,41,43,41,41,41,42,45
